OP日,店番,店名,,時給,,,店舗住所,チラシの有無,面接日①,7週前〆(営企へ),面接担当者,面接会場１回目,郵便番号,面接会場住所,ＴＥＬ,面接日②,7週前〆(営企へ),面接担当者,面接会場2回目,郵便番号,面接会場住所,ＴＥＬ,S&Bアンケート,S&B集計表労務提出,HW面接会,時間,
2021/3/25,525,大足,おおあし,940,930,1,愛知県知多郡武豊町下田18,,2021/1/23,2020/12/5,,武豊町地域交流センター会議室,470-2512,愛知県知多郡武豊町字忠白田11-1,0569-73-6001,2021/2/21,2021/1/3,,web面接実施,,,,,,,,
2021/4/8,526,学園台,がくえんだい,845,835,1,石川県かほく市学園台,,2021/2/14,2020/12/27,,かほく市高松産業文化センター 203・204研修室,929-1210,石川県かほく市高松ク42-1,076-281-3176,2021/3/14,2021/1/24,,かほく市高松産業文化センター 203・204研修室,929-1292,石川県かほく市高松ク42-1,076-281-3176,,,,,
2021/4/8,527,田鶴浜,たつるはま,850,840,MB,石川県七尾市舟尾町,,2021/2/6,2020/12/19,,田鶴浜地区コミュニティセンター「サンビーム日和が丘」研修室２,929-2104,石川県七尾市垣吉町へ部２４,0767-68-3336,2021/3/13,2021/1/23,,田鶴浜地区コミュニティセンター「サンビーム日和が丘」研修室１,929-2104,石川県七尾市垣吉町へ部２４,0767-68-3336,,,,,
2021/4/15,528,若草町南,わかくさちょうみなみ,940,930,1,愛知県大府市若草町,,2021/2/20,2021/1/2,,愛三文化会館（大府市勤労文化会館） 会議室A,474-0056,愛知県大府市明成町1-330,0562-48-6151,,-49,,web面接予定,,,,,,,,
2021/4/15,529,豊川一宮大池,とよかわいちのみや大池,940,930,1,愛知県豊川市一宮町,,2021/2/6,2020/12/19,,豊川商工会議所 第２会議室,442-8540,愛知県豊川市豊川町辺通4-4,0533-86-4101,2021/3/21,2021/1/31,,web面接予定,,,,,,,,
2021/4/22,530,上志比,かみしひ,840,830,1,福井県吉田郡永平寺町,,2021/2/27,2021/1/9,,上志比文化会館 第一会議室,910-1313,福井県吉田郡永平寺町石上第29号67番地1,0776-64-3170,2021/3/27,2021/2/6,,上志比文化会館 第一会議室,910-1313,福井県吉田郡永平寺町石上第29号67番地1,0776-64-3170,,,,,
2021/4/22,531,榎戸,えのきど,940,930,1,愛知県常滑市榎戸町,,2021/2/14,2020/12/27,,常滑市民文化会館 第３練習室,479-0837,常滑市新開町5-65,0569-35-3111,2021/3/28,2021/2/7,,web面接予定？,,,,,,,,
2021/4/29,532,朝日,あさひ,840,830,1,福井県丹生郡越前町,,2021/3/6,2021/1/16,,会場名は非公開(織田コミュニティセンター・中会議室),916-0222,福井県丹生郡越前町大王丸,,2021/4/3,2021/2/13,,サンライズ織田,916-0215,福井県丹生郡越前町織田36-1,0778-36-1111,,,,,
2021/4/29,533,長森,ながもり,865,855,1,岐阜県岐阜市北一色,,2021/3/7,2021/1/17,,岐阜市文化センター 第２会議室,500-8842,岐阜県岐阜市金町5-7-2,058-262-6200,2021/4/4,2021/2/14,,web面接予定,,,,,,,,
2021/4/29,534,小屋名,おやな,865,855,1,岐阜県関市小屋名,,2021/3/6,2021/1/16,,中央公民館 3-2研修室,501-3802,岐阜県関市若草通２丁目１,0575-23-7776,2021/4/4,2021/2/14,,web面接予定,,,,,,,,
2021/5/7,535,あわら市姫,あわらいちひめ,840,830,1,福井県あわら市市姫,,2021/3/13,2021/1/23,,あわら市文化会館 第3会議室,910-4105,福井県あわら市舟津7-65,0776-77-3331,2021/4/10,2021/2/20,,あわら市文化会館 第3会議室,910-4105,福井県あわら市舟津7-65,0776-77-3331,,,,,
2021/5/13,536,白帆台,しらほだい,845,835,1,石川県河北郡内灘町,,2021/3/14,2021/1/24,,内灘町文化会館 会議室1,920-0267,石川県河北郡内灘町字大清台140番地,076-286-1123,2021/4/17,2021/2/27,,内灘町文化会館 会議室1,920-0267,石川県河北郡内灘町字大清台140番地,076-286-1123,,,,,
2021/5/13,537,岩倉大地,いわくらだいち,940,930,1,愛知県岩倉市大地町野合22,,2021/3/21,2021/1/31,,岩倉市民プラザ 会議室１,482-0011,愛知県岩倉市昭和町２-１７,0587-37-0257,,-49,,web面接予定　IM,,,,,,,,
2021/5/13,538,岩滑,やなべ,940,930,1,愛知県半田市岩滑中町,,2021/3/21,2021/1/31,,半田市福祉文化会館（雁宿ホール） 福祉センター 第3会議室,475-0918,愛知県半田市雁宿町1-22-1,0569-23-7331,,-49,,web面接予定,,,,,,,,
2021/5/20,539,綾戸,あやど,865,855,1,岐阜県不破郡垂井町,,2021/3/27,2021/2/6,,垂井町文化会館 練習室1.2,503-2124,岐阜県不破郡垂井町宮代2957-2,0584-23-1010,,-49,,web面接予定　IM,,,,,,,,
2021/5/20,540,石浜,いしはま,940,930,1,愛知県知多郡東浦町,,2021/3/20,2021/1/30,,勤労福祉会館 会議室2,470-2103,愛知県知多郡東浦町大字石浜字岐路28-2,0562-83-6118,,-49,,web面接予定　IM,,,,,,,,
2021/5/20,541,武豊西門,たけとよにしもん,940,930,1,愛知県知多市武豊町,無,2021/3/27,2021/2/6,,砂川会館,470-2317,愛知県知多市武豊町砂川3丁目16番地,0569-72-1111,2021/4/25,2021/3/7,,web面接予定　IM,,,,,,,,
2021/5/27,542,おおい本郷,おおいほんごう,850,840,MB,福井県大飯郡おおい町,,2021/4/3,2021/2/13,,おおい町総合町民センター 会議室・娯楽室,912-2111,福井県大飯軍おおい町本郷136-1-1,0770-77-1150,2021/5/1,2021/3/13,,おおい町総合町民センター 会議室・娯楽室,912-2111,　,0770-77-1150,,,,,
2021/5/27,543,篠束,しのづか,940,930,1,愛知県豊川市篠束町,,2021/3/28,2021/2/7,,豊川市文化会館 小会議室１,442-0841,愛知県豊川市代田町1-20-4,0533-84-8411,2021/5/2,2021/3/14,,web面接予定　IM,,,,,,,,
2021/5/27,544,小鷹野,おだかの,940,930,1,愛知県豊橋市西小鷹野,無,2021/4/10,2021/2/20,,豊橋市民文化会館 第三会議室,440-0862,愛知県豊橋市向山大池町20-1,0532-61-5111,2021/5/2,2021/3/14,,web面接予定　IM,,,,,,,,
2021/5/27,556,西明見(Ｓ＆Ｂ),にしあけみ,865,855,1,岐阜県岐阜市西明見町27 加納城南跡地？,無,2021/4/10,2021/2/20,,面接会中止,,,,5/9,3/21,,,,,,,,,,
2021/6/3,545,川北,かわきた,845,835,1,石川県能美郡川北町,,2021/4/11,2021/2/21,,寺井地区公民館 ３０１会議室,923-1297,石川県能美市寺井町ヨ47番地,0761-57-0030,2021/5/9,2021/3/21,,web面接予定　IM,,,,,,,,
2021/6/3,546,福井運動公園,ふくいうんどうこうえん,850,840,1,福井県福井市若杉,,2021/4/4,2021/2/14,,フェニックスプラザ 401会議室,910-0018,福井県福井市田原1丁目13番6号,0776-20-5060,2021/5/8,2021/3/20,,フェニックスプラザ 401会議室　合同,910-0018,福井県福井市田原1丁目13番6号,0776-20-5060,,,,,
2021/6/3,547,福井南,ふくいみなみ,850,840,1,福井県福井市下河北町,,2021/4/11,2021/2/21,,フェニックスプラザ 401会議室,910-0018,福井県福井市田原1丁目13番6号,0776-20-5060,2021/5/8,2021/3/20,,フェニックスプラザ 401会議室　合同,910-0018,福井県福井市田原1丁目13番6号,0776-20-5060,,,,,
2021/6/3,548,坂下,さかした,940,930,1,愛知県春日井市坂下町,無,2021/3/28,2021/2/7,,レディヤンかすがい 第4会議室,486-0844,愛知県春日井市鳥居松町2-247,0568-85-4188,2021/5/9,2021/3/21,,web面接予定　IM,,,,,,,,
2021/6/10,551,豊川川花,とよかわかわはな,940,930,1,愛知県豊川市川花町三丁目31番1,,2021/4/24,2021/3/6,,豊川商工会議所 第２会議室,442-8540,愛知県豊川市豊川町辺通4-4,0533-86-4101,2021/5/16,2021/3/28,,web面接予定,,,,,,,,
2021/6/10,549,綾野,あやの,870,860,1,岐阜県大垣市綾野,,2021/4/18,2021/2/28,,ソフトピアジャパンセンター ドリーム・コア棟 実習室１,503-0006,岐阜県大垣市加賀野4-1-7,0584-77-1111,2021/5/15,2021/3/27,,web面接予定　IM,,,,,,,,
2021/6/10,550,下呂東上田,げろひがしうえだ,865,855,MB,岐阜県下呂市東上田,,2021/4/17,2021/2/27,,下呂市民会館 第３研修室,509-2202,岐阜県下呂市森801-10,0576-25-2252,2021/5/15,2021/3/27,,下呂市民会館 第３研修室,509-2202,岐阜県下呂市森801-10,0576-25-2252,,,,,
2021/6/10,552,三ノ輪,みのわ,940,930,1,愛知県豊橋市三ノ輪町,,2021/4/18,2021/2/28,,豊橋商工会議所 ５０６会議室,440-8508,愛知県豊橋市花田町字石塚42-1,0532-53-7211,2021/5/16,2021/3/28,,web面接予定,,,,,,,,
2021/6/17,554,小呂,おろ,940,930,1,愛知県岡崎市小呂町ミタライ７０−１？,無,2021/5/1,2021/3/13,,岡崎市民会館 中会議室B,444-0072,愛知県岡崎市六供町出崎15-1,0564-21-9121,2021/5/23,2021/4/4,,web面接　IM,,,,,,,,
2021/6/17,553,扇が丘,おうぎがおか,850,840,1,石川県野々市市扇が丘,,2021/4/24,2021/3/6,,野々市市文化会館フォルテ セミナールーム,921-8815,石川県野々市市本町5丁目4-1,076-248-8000,2021/5/22,2021/4/3,,web面接　IM,,,,,,,,
2021/6/17,555,新城野田,しんしろのだ,940,930,1,愛知県新城市野田西町屋敷,,2021/5/8,2021/3/20,,新城文化会館 302講習室,441-1381,愛知県新城市字下川1番地1,0536-23-2122,2021/5/29,2021/4/10,,web面接　IM,,,,,,,,
2021/8/12,557,木之本,きのもと,910,900,B,滋賀県長浜市木之本町木之本字四反田1517番,有,2021/6/27,2021/5/9,,長浜伊香ツインアリーナ　多目的Ａ・Ｂ,529-0433,滋賀県長浜市木之本町西山183-3,0749-82-4119,2021/7/18,2021/5/30,,WEB面接　IM,529-0433,滋賀県長浜市木之本町西山183-3,0749-82-4119,,,,,
2021/8/19,558,金沢森本,かなざわもりもと,850,840,1,石川県金沢市堅田町甲99番1,有,2021/7/4,2021/5/16,,石川県勤労者福祉文化会館（フレンドパーク石川）会議室2,920-0024,石川県金沢市西念3-3-5,076-234-2421,2021/7/25,2021/6/6,,石川県勤労者福祉文化会館（フレンドパーク石川）会議室2,920-0024,石川県金沢市西念3-3-5,076-234-2421,,,,,
2021/8/26,559,下呂森,げろもり,865,855,MB,岐阜県下呂市森字砂場546番,有,2021/7/11,2021/5/23,,下呂市民会館 第３研修室,509-2202,岐阜県下呂市森801-10,0576-25-2252,2021/8/1,2021/6/13,,下呂市民会館 第３研修室,509-2202,岐阜県下呂市森801-10,0576-25-2252,,,,,
2021/9/2,563,大森,おおもり,865,855,1,岐阜県可児市大森,有,2021/8/7,,,勤労者総合福祉センター（Lポート可児）研修室,509-0249,岐阜県可児市姫ケ丘 1-37,0574-61-0111,,,,なし,,,,〇,〇,,,
2021/9/9,564,前洞新町,まえぼらしんまち,865,855,1,岐阜県各務原市那加前洞新町4丁目178番地,無,2021/8/7,,,web面接　IM,,,,,,,,,,,〇,〇,,,
2021/9/16,565,曲利東,まがりひがし,865,855,1,岐阜県羽島市正木町曲利1402番地,無,2021/8/12,,,web面接　IM,,,,,,,,,,,〇,〇,,,
2021/9/23,560,すみよし通り,すみよしどおり,845,835,MB,石川県河北郡津幡町字加賀爪ロ4番6,有,2021/8/8,2021/6/20,,津幡町　中条公民館　大ホール,929-0343,石川県河北郡津幡町南中条へ81,076-288-4685,2021/8/29,2021/7/11,,8/19面接会場キャンセル,,,,,,,,8/19２回目キャンセル
2021/9/30,561,前ヶ須,まえがす,940,930,1,愛知県弥富市前ケ須町勘助走28番1,無,2021/8/14,,,愛西市文化会館　第１会議室,496-0907,愛知県愛西市稲場町米野303番地,0567-28-3000,2021/9/4,2021/7/17,,web面接予定　IM,,,,,,,, 
2021/10/14,566,高瀬,たかせ,870,860,B,福井県越前市高瀬1丁目54番,有,2021/9/4,,,武生中央公園総合体育館　会議室大,915-0832,福井県越前市高瀬2丁目8-23,0778-22-6395,2021/10/1,,,web面接予定　IM,,,,〇,〇,,,
2021/10/21,567,徳永,とくなが,965,955,1,愛知県西尾市徳永町東側34番1,無,2021/9/18,,,web面接　IM,,,,2021/10/8,,,web面接予定　IM,,,,〇,〇,,,
2021/10/28,568,田戸,たど,965,955,1,愛知県高浜市田戸町4丁目3-10,無,2021/9/25,,,web面接　IM,,,,2021/10/15,,,web面接予定　IM,,,,〇,〇,,,
2021/11/4,569,土山,どやま,890,880,1,岐阜県各務原市那加土山町2丁目165番地,無,不足無し,,,,,,,10/22,,,最終報告のみ,,,,〇,8/29,,,
2021/11/11,570,八田,はった,965,955,B,愛知県名古屋市中村区野田町字経田63番1,無,2021/9/26,,,web面接　IM,,,,2021/10/17,2021/8/29,,web面接　IM,,,,,,,,
2021/11/18,571,若松,わかまつ,965,955,1,愛知県岡崎市若松町字山田下33-2,無,2021/10/3,,,web面接　IM,,,,2021/10/24,,,web面接　IM,,,,,,,,
2021/11/18,572,岩野田,いわのだ,890,880,1,岐阜県岐阜市粟野西3丁目67-1,無,2021/10/16,,,web面接　IM,,,,2021/11/5,,,web面接　IM,,,,〇,8/29,,,
2021/11/25,573,梅森,うめもり,965,955,1,愛知県日進市梅森町上松640番1,無,2021/10/10,,,web面接　IM,,,,2021/10/31,,,web面接　IM,,,,,,,,
2021/11/25,574,押野北,おしのきた,875,865,1,石川県野々市市押野6丁目48番地,無,2021/10/23,,,web面接　IM,,,,2021/11/12,,,web面接　IM,,,,〇,〇,,,
2021/12/2,575,関ヶ原町,せきがはらちょう,890,880,1,岐阜県不破郡関ケ原町関ケ原3691-1,無,2021/10/30,,,web面接　IM,,,,2021/11/19,,,web面接　IM,,,,〇,8/29,,,
2021/12/2,576,下米田,しもよねだ,890,880,1,岐阜県美濃加茂市下米田町今174-1,有,2021/10/17,2021/8/29,,下米田交流センター　会議室A,505-0014,岐阜県美濃加茂市下久米田則光182,0574-25-2714,2021/11/6,2021/9/18,,キャンセル（下米田交流センター　会議室A）,505-0014,岐阜県美濃加茂市下久米田則光182,0574-25-2714,〇,〇,,,前日に鍵を取りに行く
2021/12/9,577,王子保,おうしお,870,860,1,福井県越前市四郎丸町48字18-1,無,2021/10/30,2021/9/11,,10/27面接会場キャンセル済／IM,,,,2021/11/13,2021/9/25,,10/27面接会場キャンセル済／IM,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,〇,8/29,,,面接会キャンセル
2021/12/9,578,南濃,なんのう,890,880,B,岐阜県海津市南濃町吉田626-1,無,2021/11/6,,,web面接　IM,,,,2021/11/26,,,web面接　IM,,,,〇,8/29,,,
2021/12/16,579,なつめ,なつめ,"1000
（870）","1000
（860）",MB,福井県福井市両橋屋町24字西田畑21番,有,2021/10/30,2021/9/11,,棗公民館　ホール,910-3137,福井県福井市石橋町4-14,0776-85-1495,2021/11/14,,,棗公民館　ホール11/14キャンセル済,,,,,,,,
2021/12/16,580,旭町,あさひまち,870,860,B,福井県勝山市旭町2丁目539,無,2021/11/13,2021/9/25,,10/5面接会場キャンセル済／IM,911-0811,福井県勝山市片瀬町1-402,0779-88-3700,,,,web面接　IM,,,,9/5,9/12,,,
2021/12/23,582,鳥屋場橋西,とやばばしにし,890,880,1,岐阜県可児市下恵土1930番１,無,2021/11/20,2021/10/2,,10/5面接会場キャンセル済／IM,509-0249,岐阜県可児市姫ケ丘1-37,0574-61-0111,,,,web面接　IM,,,,9/5,9/12,,,
2022/1/20,583,新豊,しんゆたか,965,955,1,愛知県豊川市新豊町一丁目31番,無,2021/12/4,2021/10/16,,web面接　IM,,,,2021/12/26,,,web面接　IM,,,,,,,,
2022/1/27,584,御幸,みゆき,"1000
（870）","1000
（860）",MB,福井県福井市御幸3丁目803番１,有,2021/12/11,2021/10/23,前田,福井市地域交流プラザ　研修室602,910-0858,福井県福井市手寄1-4-1,0776-20-1535,2021/12/26,2021/11/7,,12/20キャンセル済み。福井市地域交流プラザ　研修室602,,,,,,,,
2022/2/3,585,南陽東,なんようひがし,965,955,B,愛知県名古屋市港区知多二丁目204番,無,2021/12/18,,,web面接　IM,,,,2022/1/9,,,web面接　IM,,,,,,,,
2022/2/3,586,樽水,たるみ,965,955,1,愛知県常滑市樽水町一丁目40番1,無,2021/12/18,,,web面接　IM,,,,2022/1/9,,,web面接　IM,,,,,,,,
2022/2/10,587,今津弘川,いまづひろかわ,910,900,B,滋賀県高島市今津町弘川字宮ノ下291番１,無,2021/12/25,2021/11/6,広末・前田,新旭公民館　　３Ａ会議室,520-1501,滋賀県高島市新旭町旭1-10-1,0740-25-5500,2022/1/16,2021/11/28,,1/5　キャンセル済み新旭公民館　　２Ａ会議室,,,,,,,,
2022/2/17,588,前飛保,まえひぼ,965,955,1,愛知県江南市前飛保町栄235番,無,2022/1/8,,,web面接　IM,,,,2022/1/23,,,web面接　IM　不足なし,,,,,,,,
2022/2/17,589,新旭,しんあさひ,910,900,B,滋賀県高島市新旭町旭652番1,無,2022/1/8,2021/11/20,山本部長・前田,新旭公民館　　３Ａ会議室,520-1501,滋賀県高島市新旭町旭1-10-1,0740-25-5500,2022/1/22,2021/12/4,,1/13面接会ｷｬﾝｾﾙ済み。新旭公民館　　３Ａ会議室,,,,,,,,
2022/2/24,590,米原駅西,まいばらえきにし,910,900,B,滋賀県米原市下多良一丁目38番,無,2022/1/8,2021/11/20,鈴木・広末,米原学びあいステーション　３Ａ研修室,521-0016,滋賀県米原市下多良3-3,0749-52-2240,2022/1/30,2021/12/12,,1/13面接会ｷｬﾝｾﾙ済み。米原学びあいステーション　３Ａ研修室,,,,,,,,
2022/3/3,591,祖父江森上,そぶえもりかみ,965,955,1,愛知県稲沢市祖父江町森上本郷八27番1,無,2022/1/15,,,web面接　IM,,,,2022/2/6,,,web面接　IM,,,,,,,,
2022/3/3,592,陽明,ようめい,870,860,B,福井県大野市東中野1-511,有,2022/1/29,2021/12/11,前田,大野店で面接,,,,,,,,,,,,,,,
2022/3/10,593,武生新町,たけふしんちょう,"1000
（870）","1000
（860）",1,福井県越前市新町10字東野末1番6,有,2022/1/22,2021/12/4,前田,労働福祉会館　第３会議室,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,2022/2/12,2021/12/25,山本部長・前田,2/9キャンセル済み　労働福祉会館　第３会議室,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,,,,,
2022/3/17,594,保美,ほび,"1000
（965）","1000
（955）",MB,愛知県田原市福江町向田10-2,有,2022/1/30,2021/12/12,広末・河合,渥美文化会館　小会議室B,441-3695,愛知県田原市古田町岡ノ越6-4,0531-33-1000,2022/2/20,2022/1/2,河合・石原,渥美文化会館　小会議室B,441-3695,愛知県田原市古田町岡ノ越6-4,0531-33-1000,,,,,
2022/3/24,581,勝見,かつみ,870,860,1,福井県福井市勝見3丁目20番19号,無,2022/2/12,2021/12/25,,web面接　IM,,,,,1899/11/11,,,,,,9/5,9/12,,,
2022/3/31,595,立待,たちまち,870,860,1,福井県鯖江市杉本町21字11-1,有,2022/2/20,2022/1/2,前田,鯖江市文化センター　第３練習室,916-0041,福井県鯖江市東鯖江3丁目7-1,0778-52-7430,2022/3/5,2022/1/15,山本部長・前田,2/15ｷｬﾝｾﾙ済み。鯖江商工会議所　地階Ｕスタ（地下１階）,916-0026,福井県鯖江市本町3丁目2-12,0778-51-2800,,,,,
2022/4/7,596,穴水町,あなみずまち,"1000
(875)","1000
(865)",MB,石川県鳳珠郡穴水町川島い69番,有,2022/2/26,2022/1/8,前田,のとふれあい文化センター　学習室１,927-0025,石川県鳳珠郡穴水町内浦5-28-3,0768-52-3401,2022/3/20,2022/1/30,山本部長・前田,3/1TELキャンセル済みのとふれあい文化センター　学習室１,927-0025,石川県鳳珠郡穴水町内浦5-28-3,0768-52-3401,,,,,
2022/4/14,597,矢田川橋南,やだがわばしみなみ,965,955,1,愛知県常滑市小倉町3丁目12番,無,2022/2/26,2022/1/8,河合・石原,web面接　IM,,,,2022/3/20,2022/1/30,河合・石原,web面接　IM,,,,,,,,
2022/4/21,607,日光（2/27閉店）,にっこう,870,860,B,福井県福井市日光2-26-5,,,1899/11/11,,,,,,,1899/11/11,,,,,,,,,,
2022/4/28,562,富木島,ふきしま,965,955,1,愛知県東海市富木島町前田面12番4,無,2022/3/12,2022/1/22,河合・石原,web面接　IM,,,,2022/4/3,2022/2/13,河合・石原,web面接　IM,,,,,,,,
2022/4/28,608,文殊（3/6閉店）,もんじゅ,890,880,1,岐阜県本巣市曽井中島1532-1,,,1899/11/11,,,,,,,1899/11/11,,,,,,,,,,
2022/5/5,598,志賀町,しかまち,875,865,MB,石川県羽咋郡志賀町高浜町マ19番4,有,2022/3/19,2022/1/29,前田,志賀町文化ホール　第23研修室,925-0141,石川県羽咋郡志賀町高浜町カの1番地1,0767-32-2111,2022/4/10,2022/2/20,山本部長・前田,志賀町文化ホール　第22研修室,925-0141,石川県羽咋郡志賀町高浜町カの1番地1,0767-32-2111,,,,,
2022/5/5,599,芥見南山,あくたみみなみやま,890,880,1,岐阜県岐阜市芥見南山三丁目2番7,無,2022/3/13,2022/1/23,河合・石原,アピセ・関　　第１研修室,501-3874,岐阜県関市平和通7-5-1,0575-24-6767,2022/4/10,2022/2/20,河合・石原,アピセ・関　　第１研修室,501-3874,岐阜県関市平和通7-5-1,0575-24-6767,,,,,
2022/5/12,600,西尾町,にしおちょう,870,860,1,福井県越前市大手町6字六斗代5番5,有,2022/3/26,2022/2/5,前田,労働福祉会館　第３会議室,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,2022/4/16,2022/2/26,前田・山本部長,労働福祉会館　第３会議室,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,,,,,
2022/5/12,603,高師,たかし,965,955,1,愛知県豊橋市上野町字上野119番1,無,2022/3/26,2022/2/5,河合・石原,web面接　IM,,,,2022/4/17,2022/2/27,河合・石原,,,,,,,,,
2022/5/19,601,古府,ふるこ,875,865,MB,石川県七尾市古府町へ3番,有,2022/4/2,2022/2/12,前田,七尾市文化ホール（七尾ｻﾝﾗｲﾌﾌﾟﾗｻﾞ）第12会議室,926-0021,石川県七尾市本府中町ヲ部38,0767-53-1160,2022/4/23,2022/3/5,山本部長・前田,七尾市文化ホール（七尾ｻﾝﾗｲﾌﾌﾟﾗｻﾞ）第12会議室,926-0021,石川県七尾市本府中町ヲ部38,0767-53-1160,,,,,
2022/5/19,602,丹生川,にゅうかわ,890,880,MB,岐阜県高山市丹生川町坊方字平田2279番,有,2022/4/2,2022/2/12,河合・石原,高山市丹生川文化ホール　　情報管理室,506-2123,岐阜県高山市丹生川町町方１,0577-78-2468,2022/4/24,2022/3/6,河合・石原,高山市丹生川文化ホール　　情報管理室,506-2123,岐阜県高山市丹生川町町方１,0577-78-2468,,,,,
2022/5/26,604,内浦,うちうら,875,865,MB,石川県鳳珠郡能登町字松波イ13番1,有,2022/4/9,2022/2/19,前田,能登勤労者プラザ（ホテルのときんぷら）　小研修室,927-0552,石川県鳳珠郡能登町字越坂11-51,0768-74-0051,2022/5/1,2022/3/13,山本部長・前田,ラポルトすず　市民サロン,927-1214,石川県珠洲市飯田町1-1-8,0768-82-8200,,,,,
2022/5/26,606,平出,ひらいで,870,860,1,福井県越前市本多三丁目7字北高道1番1,有,2022/4/9,2022/2/19,山本部長,労働福祉会館　第３会議室,915-0814,福井県越前市中央2丁目5-1,0778-22-0369,2022/5/1,2022/3/13,山本部長・前田,越前市市民交流センター　中会議室１,915-0071,越前市府中１丁目11番2号,0778-25-8800,,,,,
2022/6/2,609,馬替,まがえ,875,865,1,石川県金沢市馬替２丁目,有,2022/4/17,2022/2/27,山本部長・前田,白山市鶴来総合文化会館クレイン　第４研修室,920-2143,石川県白山市七原町７７番地,076-273-8700,2022/5/8,2022/3/20,,白山市鶴来総合文化会館クレイン　第４研修室,920-2143,石川県白山市七原町７７番地,076-273-8700,,,,,
2022/6/2,610,旭桃台,きょくとうだい,965,955,1,愛知県知多市大興寺長根,無,2022/4/16,2022/2/26,河合・石原,web面接　IM,,,,2022/5/8,2022/3/20,,,,,,,,,,
2022/6/2,611,井ヶ谷,いがや,965,955,1,愛知県刈谷市,無,2022/4/16,2022/2/26,河合・石原,web面接　IM,,,,2022/5/8,2022/3/20,,,,,,,,,,
2022/6/2,612,大草,おおくさ,965,955,1,愛知県額田郡,無,2022/4/16,2022/2/26,河合・石原,web面接　IM,,,,2022/5/8,2022/3/20,,,,,,,,,,
2022/6/9,613,沼町,ぬままち,890,880,MB,岐阜県飛騨市,有,2022/4/17,2022/2/27,河合・石原,飛騨市古川町公民館　研修室３号,509-4221,岐阜県飛騨市古川町若宮２丁目1-66,0577-73-6115,2022/5/15,2022/3/27,,飛騨市古川町公民館　研修室３号,509-4221,岐阜県飛騨市古川町若宮２丁目1-66,0577-73-6115,,,,,
2022/6/9,614,神ノ郷,かみのごう,965,955,1,愛知県蒲郡市,無,2022/4/23,2022/3/5,河合・石原,web面接　IM,,,,2022/5/15,2022/3/27,,,,,,,,,,
2022/6/9,615,二川,ふたがわ,965,955,1,愛知県豊橋市,無,2022/4/23,2022/3/5,河合・石原,web面接　IM,,,,2022/5/15,2022/3/27,,,,,,,,,,
2022/6/9,616,湖北,こほく,910,900,B,滋賀県長浜市,無,2022/4/24,2022/3/6,前田不可,web面接　IM,,,,2022/5/15,2022/3/27,,,,,,,,,,
2022/6/9,617,八日市御園,ようかいちみその,910,900,B,滋賀県東近江市,有,2022/4/23,2022/3/5,河合・石原,八日市文化芸術会館　　会議室２,527-0039,滋賀県東近江市青葉町1番50号,0748-23-6862,2022/5/15,2022/3/27,,八日市文化芸術会館　　会議室２,527-0039,滋賀県東近江市青葉町1番50号,0748-23-6862,,,,,
2022/6/16,622,飯塚（4/24閉店）,いいづか,870,860,1,福井県福井市飯塚町8-116-1,,,1899/11/11,山本部長・前田,,,,,,1899/11/11,,,,,,,,,,
2022/6/16,619,鳳来大野,ほうらいおおの,965,955,1,愛知県新城市,有,2022/4/30,2022/3/12,河合・石原,鳳来中央集会所　　洋室１,441-1615,愛知県新城市大野字久羅下39番地2,0536-32-1019,2022/5/22,2022/4/3,,鳳来中央集会所　　洋室１,441-1615,愛知県新城市大野字久羅下39番地2,0536-32-1019,,,,,
2022/6/16,620,浅井,あざい,910,900,B,滋賀県長浜市内保町,無,2022/4/30,2022/3/12,河合・石原,web面接　IM,,,,2022/5/22,2022/4/3,,,,,,,,,,
2022/6/16,621,びわ,びわ,910,900,B,滋賀県長浜市細江町,有,2022/4/30,2022/3/12,河合・石原,湖北勤労者福祉会館・臨湖　　第１会議室,526-0067,滋賀県長浜市港町４番９号,0749-65-2120,2022/5/22,2022/4/3,,浅井文化ホール　美術室（小会議室）,526-0244,滋賀県長浜市内保町2500,0749-74-4000,,,,,
2022/9/8,618,潮津,うしおづ,875,865,1,石川県加賀市,,,1899/11/11,山本部長・前田,,,,,,1899/11/11,,,,,,,,,,
2022/9/22,605,近岡（9/21閉店）,ちかおか,875,865,1,石川県金沢市,無,,1899/11/11,山本部長・前田,,,,,,1899/11/11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
未定,延期,河瀬日夏,かわせひなつ,910,900,B,滋賀県彦根市川瀬馬場町,有,,1899/11/11,,,,,,,1899/11/11,,,,,,,,,,